Name_in_SNP_spread,Collection number,Description,Mountain_range,Tidy_label,Retain_for_small_tree,Pretty_order,Determination_verbatim,Determination,Species,Latitude,Longitude,Is_duplicate,Duplicate_details,Order_for_taxa_comparison,Order_glandulosa_taxa,Order_for_MtnRange_and_Location
2,AS 42689,PalomarMtn,PM,Palomar_mtn_7,FALSE,53,glandulosa sub cushingiana,glandulosa subsp. cushingiana,glandulosa,33.29855,-116.89017,F,,14,12,34
3,AS 42691,PalomarMtn,PM,Palomar_mtn_8,FALSE,54,,glandulosa,glandulosa,33.29855,-116.89017,F,,6,2,32
42692,AS 42692,PalomarMtn,PM,Palomar_mtn_9,FALSE,55,glandulosa subsp. glandulosa,glandulosa subsp. glandulosa,glandulosa,33.29855,-116.89017,F,,27,25,35
1,AS42687,PalomarMtn,PM,Palomar_mtn_10,FALSE,56,glandulosa sub cushingiana,glandulosa subsp. cushingiana,glandulosa,33.29855,-116.89017,F,,13,11,33
71,YH 41,LagunaMtn21st,LAGM,Laguna_mtns_1_1,TRUE,57,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,33.04638,-116.5675,F,,63,61,9
72,YH 42,LagunaMtn21st,LAGM,Laguna_mtns_1_2,FALSE,58,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,33.04638,-116.5675,F,,64,62,10
73,YH 43,LagunaMtn21st,LAGM,Laguna_mtns_1_3,FALSE,59,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,33.04638,-116.5675,F,,65,63,11
74,YH 45,LagunaMtn21st,LAGM,Laguna_mtns_1_4,FALSE,60,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,33.04638,-116.5675,F,,66,64,12
66,YH 36,LagunaMtn2nd,LAGM,Laguna_mtns_2_1,TRUE,61,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,32.8799,-116.58358,F,,67,65,13
67,YH 37,LagunaMtn2nd,LAGM,Laguna_mtns_2_2,FALSE,62,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,32.8799,-116.58358,F,,68,66,14
68,YH 38,LagunaMtn2nd,LAGM,Laguna_mtns_2_3,FALSE,63,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,32.8799,-116.58358,F,,69,67,15
69,YH 39,LagunaMtn2nd,LAGM,Laguna_mtns_2_4,FALSE,64,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,32.8799,-116.58358,F,,70,68,16
70,YH 40,LagunaMtn2nd,LAGM,Laguna_mtns_2_5,FALSE,65,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,32.8799,-116.58358,F,,71,69,17
62,YH 32,LagunaMtn3rd,LAGM,Laguna_mtns_3_1,TRUE,66,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,32.78767,-116.58358,F,,72,70,18
63,YH 33,LagunaMtn3rd,LAGM,Laguna_mtns_3_2,FALSE,67,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,32.78767,-116.58358,F,,73,71,19
64,YH 34,LagunaMtn3rd,LAGM,Laguna_mtns_3_3,FALSE,68,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,32.78767,-116.58358,F,,74,72,20
65,YH 35,LagunaMtn3rd,LAGM,Laguna_mtns_3_4,FALSE,69,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,32.78767,-116.58358,F,,75,73,21
30,YH 1,LagunaMtn4th,LAGM,Laguna_mtns_4_1,TRUE,70,glandulosa leucophylla?glandulosa,glandulosa subsp. leucophylla,glandulosa,33.1,-116.7,F,,61,59,7
31,YH 2,LagunaMtn4th,LAGM,Laguna_mtns_4_2,FALSE,71,glandulosa sub leucophylla?glandulosa,glandulosa subsp. leucophylla,glandulosa,33.1,-116.7,F,,62,60,8
4,AS 42693,LagunaMtn5th,LAGM,Laguna_mtns_4_3,FALSE,72,glandulosa sub glandulosa?,glandulosa subsp. glandulosa,glandulosa,33.10792,-116.6684,F,,22,20,23
5,AS 42694,LagunaMtn5th,LAGM,Laguna_mtns_4_4,FALSE,73,glandulosa sub glandulosa?leucophylla,glandulosa subsp. glandulosa,glandulosa,33.10792,-116.6684,F,,23,21,24
6,AS 42695,LagunaMtn5th,LAGM,Laguna_mtns_4_5,FALSE,74,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.10792,-116.6684,F,,24,22,25
7,AS 42696,LagunaMtn5th,LAGM,Laguna_mtns_4_6,FALSE,75,,glandulosa,glandulosa,33.09918,-116.6632,F,,5,1,22
29,AS 42680,DelMarHeights,DMH,SD_coast_1,TRUE,76,glandulosa sub crassifolia,glandulosa subsp. crassifolia,glandulosa,32.96442,-117.23637,F,,9,7,3
27,AS 42682,DelMarHeights,DMH,SD_coast_2,FALSE,77,glandulosa sub crassifolia,glandulosa subsp. crassifolia,glandulosa,32.96442,-117.23637,F,,7,5,1
28,AS 42684,DelMarHeights,DMH,SD_coast_3,FALSE,78,glandulosa sub crassifolia,glandulosa subsp. crassifolia,glandulosa,32.96442,-117.23637,F,,8,6,2
87,Dylan-403,DelMarHeights,DMH,SD_coast_4,FALSE,79,glandulosa subsp. crassifolia,glandulosa subsp. crassifolia,glandulosa,32.95009,-117.2538,F,same plant as Dylan-405 and -406,10,8,4
90,Dylan-471,DelMarHeights,DMH,SD_coast_5,FALSE,80,glandulosa subsp. crassifolia,glandulosa subsp. crassifolia,glandulosa,33.03599,-117.24865,F,,11,9,5
42683,AS 42683,DelMarHeights2,DMH,SD_coast_6,FALSE,81,glandulosa subsp. crassifolia,glandulosa subsp. crassifolia,glandulosa,32.96442,-117.23637,F,,12,10,6
91,Dylan-258,Sierra San Pedro Martir Hwy 1,SierSanPedMar,Baja_1,TRUE,82,glandulosa,glandulosa,glandulosa,31.52299,-116.33768,F,same plant as Dylan-259,3,3,63
93,Dylan-262,Sierra San Pedro Martir Hwy 1,SierSanPedMar,Baja_2,FALSE,83,glandulosa,glandulosa,glandulosa,31.63191,-116.49792,F,same plant as Dylan-263,4,4,64
77,Dylan-265,Sierra San Pedro Martir Hwy 3,SierSanPedMar,Baja_3,FALSE,84,glandulosa subsp. erecta,glandulosa subsp. erecta,glandulosa,31.88563,-116.32164,F,same plant as Dylan-266,15,13,65
79,Dylan-269,Sierra San Pedro Martir Hwy 3,SierSanPedMar,Baja_4,FALSE,85,glandulosa subsp. erecta,glandulosa subsp. erecta,glandulosa,31.88333,-116.38484,F,,16,14,66
83,Dylan-285,Apline Lake,AlpLake,A_montana,TRUE,NA,montana,montana,montana,37.96373,-122.62593,F,same plant as Dylan-286,91,89,
75,Dylan-427,Huckleberry Botanic Regional Preserve,Huckl_Bot_Reg_Pres,A_crustacea,TRUE,NA,crustacea,crustacea,crustacea,37.83976,-122.18935,F,,1,NA,NA
81,Dylan-217,Mayacamas,Mayac,NA,FALSE,NA,manzanita,manzanita,manzanita,38.36243,-122.47189,F,,89,87,
86,Dylan-244,Mount Otay,MtOtay,A_otayensis,TRUE,NA,otayensis,otayensis,otayensis,32.61653,-116.84272,F,,92,90,
85,Dylan-273,Mount Tamalpais,MtTam,A_sensitiva,TRUE,NA,sensitiva,sensitiva,sensitiva,37.91098,-122.57745,F,,96,94,
82,Dylan-297,Russian River Valley,RusRiv,A_manzanita,TRUE,NA,manzanita,manzanita,manzanita,38.95605,-123.10713,F,,90,88,
76,Dylan-443,SantaYnez,SantaYnez,NA,FALSE,NA,crustacea,crustacea,crustacea,34.5134,-119.80398,F,,2,NA,NA
95,JmsRsr-35,UC James Reserve,SJAC,A_pringlei,TRUE,NA,pringlei,pringlei,pringlei,33.808,-116.777,F,,93,91,
96,JmsRsr-37,UC James Reserve,SJAC,NA,FALSE,NA,pringlei,pringlei,pringlei,33.808,-116.777,F,,94,92,
J4,,UC James Reserve,SJAC,NA,FALSE,NA,pringlei,pringlei,pringlei,33.808,-116.777,F,,95,93,
80,Dylan-276,San Luis Obispo,SLO,A_glauca,TRUE,NA,glauca,glauca,glauca,35.28678,-120.47163,F,,88,86,
84,Dylan-286,Apline Lake,AlpLake,NA,FALSE,NA,montana,montana,montana,37.96373,-122.62593,T,same plant as Dylan-285,NA,NA,NA
92,Dylan-259,Sierra San Pedro Martir Hwy 1,SierSanPedMar,NA,FALSE,NA,glandulosa,glandulosa,glandulosa,31.52299,-116.33768,T,same plant as Dylan-258,NA,NA,NA
94,Dylan-263,Sierra San Pedro Martir Hwy 1,SierSanPedMar,NA,FALSE,NA,glandulosa,glandulosa,glandulosa,31.63191,-116.49792,T,same plant as Dylan-262,NA,NA,NA
78,Dylan-266,Sierra San Pedro Martir Hwy 3,SierSanPedMar,NA,FALSE,NA,glandulosa subsp. erecta,glandulosa subsp. erecta,glandulosa,31.88563,-116.32164,T,same plant as Dylan-265,NA,NA,NA
J4_dupl,,UC James Reserve,SJAC,NA,FALSE,NA,pringlei,pringlei,pringlei,33.808,-116.777,T,,NA,NA,NA
PF7_dupl,,,SJAC,NA,FALSE,NA,glandulosa subsp. glandulosa,glandulosa subsp. glandulosa,glandulosa,33.86194,-116.83778,T,,NA,NA,NA
42692_dupl,AS 42692,PalomarMtn,PM,Palomar_mtn_10,FALSE,NA,glandulosa subsp. glandulosa,glandulosa subsp. glandulosa,glandulosa,33.29855,-116.89017,T,,NA,NA,NA
42813_dupl,AS 42813,SanBernardinoMtns2nd,SBERN,San_Berns_1_3,FALSE,NA,glandulosa subsp. glandulosa,glandulosa subsp. glandulosa,glandulosa,34.2275,-117.27528,T,,NA,NA,NA
MC4_dupl,,SanGabriel,SGAB,San_Gabes_6,FALSE,NA,glandulosa subsp. gabrielensis,glandulosa subsp. gabrielensis,glandulosa,34.39107,-118.08167,T,,NA,NA,NA
88,Dylan-405,Del Mar Heights,DMH,SD_coast_1,FALSE,NA,glandulosa subsp. crassifolia,glandulosa subsp. crassifolia,glandulosa,32.95009,-117.2538,T,same plant as Dylan-403 and -406,NA,NA,NA
89,Dylan-406,Del Mar Heights,DMH,SD_coast_2,FALSE,NA,glandulosa subsp. crassifolia,glandulosa subsp. crassifolia,glandulosa,32.95009,-117.2538,T,same plant as Dylan-403 and -405,NA,NA,NA
42683_dupl,AS 42683,DelMarHeights2,DMH,SD_coast_9,FALSE,NA,glandulosa subsp. crassifolia,glandulosa subsp. crassifolia,glandulosa,32.96442,-117.23637,T,,NA,NA,NA
